"Company","Time","HourOfDay","HighestStockPrice"
"BYND","09:00","1","74.54"
"BYND","10:00","2","73.28"
"BYND","11:00","3","71.04"
"BYND","12:00","4","71.02"
"BYND","13:00","5","71.24"
"BYND","14:00","6","71.4"
"BYND","15:00","7","71.28"
"DDOG","09:00","1","186.21"
"DDOG","10:00","2","184.1"
"DDOG","11:00","3","178.54"
"DDOG","12:00","4","177.21"
"DDOG","13:00","5","177.73"
"DDOG","14:00","6","179.39"
"DDOG","15:00","7","179.81"
"FB","09:00","1","335.37"
"FB","10:00","2","335.81"
"FB","11:00","3","329.8"
"FB","12:00","4","328.29"
"FB","13:00","5","328.02"
"FB","14:00","6","328.18"
"FB","15:00","7","327.3"
"NFLX","09:00","1","675.2"
"NFLX","10:00","2","675.38"
"NFLX","11:00","3","661.99"
"NFLX","12:00","4","658.24"
"NFLX","13:00","5","651.35"
"NFLX","14:00","6","650.59"
"NFLX","15:00","7","645.95"
"OKTA","09:00","1","226.46"
"OKTA","10:00","2","225.35"
"OKTA","11:00","3","217.08"
"OKTA","12:00","4","216.18"
"OKTA","13:00","5","216.71"
"OKTA","14:00","6","216.37"
"OKTA","15:00","7","215.88"
"PINS","09:00","1","41.71"
"PINS","10:00","2","41.64"
"PINS","11:00","3","40.43"
"PINS","12:00","4","40.09"
"PINS","13:00","5","40.12"
"PINS","14:00","6","40.23"
"PINS","15:00","7","40.42"
"SHOP","09:00","1","1629.94"
"SHOP","10:00","2","1625.99"
"SHOP","11:00","3","1561.98"
"SHOP","12:00","4","1544.77"
"SHOP","13:00","5","1533.19"
"SHOP","14:00","6","1536.21"
"SHOP","15:00","7","1529.8"
"SNAP","09:00","1","49.4"
"SNAP","10:00","2","49.07"
"SNAP","11:00","3","47.33"
"SNAP","12:00","4","46.98"
"SNAP","13:00","5","47.28"
"SNAP","14:00","6","47.13"
"SNAP","15:00","7","47.68"
"SQ","09:00","1","217.75"
"SQ","10:00","2","215.46"
"SQ","11:00","3","210.63"
"SQ","12:00","4","209.11"
"SQ","13:00","5","208.41"
"SQ","14:00","6","209.03"
"SQ","15:00","7","210.63"
"TTD","09:00","1","110.87"
"TTD","10:00","2","110.28"
"TTD","11:00","3","105.83"
"TTD","12:00","4","103.85"
"TTD","13:00","5","104.69"
"TTD","14:00","6","105.12"
"TTD","15:00","7","104.68"
